id;long;lat;SPBU
1;109.297535930904;-0.02793910764617380;SPBU Pertamina
2;109.331791793254;-0.03420105544494010;SPBU AKR
3;109.332669610559;-0.02698790524757670;SPBU Pertamina
4;109.320149427741;-0.02808141480461790;SPBU Pertamina
5;109.313799046552;-0.01151825628466370;SPBU Pertamina
6;109.332072694792;-0.01783352478152080;SPBU AKR
7;109.296176753776;0.00918291408382971;SPBU Pertamina
8;109.320464110602;0.00136108526167995;SPBU Pertamina
9;109.335304643789;-0.01127114763938040;SPBU Pertamina
10;109.358135444043;-0.01615767910215170;SPBU
11;109.363833505978;-0.00543223690197614;SPBU
12;109.348458762409;0.00356193307305549;SPBU
13;109.362633437685;-0.05539212409427810;SPBU
14;109.354443367928;-0.04659411818157430;SPBU
15;109.368933704631;-0.04868962895650020;SPBU
16;109.318979230977;-0.04804559768634880;SPBU
17;109.345177253818;-0.03133682443067750;SPBU
18;109.294069950817;-0.00740852750429035;SPBU
19;109.313554970741;-0.00612619647929643;SPBU
20;109.346757726806;-0.09267071735613860;SPBU
21;109.336423538361;-0.04516552805148840;SPBU Pertamina
22;109.362126846736;-0.02581992846194020;SPBU Pertamina
23;109.356478498981;-0.06410668883032360;SPBU Pertamina
